time,speed,acceleration,force,power,distance
3.579999924,2.49000001,-7.260000229,5.679999828,14.14999962,13.78999996
3.599999905,2.359999895,-6.739999771,5.679999828,13.40999985,13.82999992
3.619999886,2.220000029,-6.599999905,5.679999828,12.61999989,13.86999989
3.640000105,2.099999905,-6.289999962,5.78000021,12.14000034,13.90999985
3.660000086,1.980000019,-5.809999943,5.880000114,11.64000034,13.93999958
3.680000067,1.879999995,-5.210000038,5.880000114,11.05000019,13.97999954
3.700000048,1.769999981,-5.340000153,5.78000021,10.22999954,14.01000023
3.720000029,1.679999948,-4.670000076,5.679999828,9.550000191,14.03999996
3.74000001,1.590000033,-4.380000114,5.590000153,8.880000114,14.06999969
3.75999999,1.50999999,-3.819999933,5.489999771,8.289999962,14.10000038
3.779999971,1.440000057,-3.75,5.289999962,7.619999886,14.11999989
3.799999952,1.370000005,-3.49000001,5.099999905,6.980000019,14.14999962
3.819999933,1.289999962,-3.769999981,4.900000095,6.320000172,14.17000008
3.839999914,1.210000038,-4.150000095,4.800000191,5.809999943,14.18999958
3.859999895,1.120000005,-4.460000038,4.610000134,5.159999847,14.21000004
3.880000114,1.029999971,-4.710000038,4.510000229,4.639999866,14.22999954
3.900000095,0.930000007,-4.639999866,4.510000229,4.190000057,14.23999977
3.920000076,0.839999974,-4.679999828,4.610000134,3.869999886,14.26000023
3.940000057,0.74000001,-4.789999962,4.800000191,3.549999952,14.27000046
3.960000038,0.649999976,-4.800000191,4.900000095,3.180000067,14.27999973
3.980000019,0.550000012,-4.900000095,5,2.75,14.28999996
4,0.449999988,-5.119999886,5.099999905,2.289999962,14.28999996
4.019999981,0.340000004,-5.079999924,5.190000057,1.769999981,14.28999996
4.039999962,0.25,-4.789999962,5.190000057,1.299999952,14.30000019
4.059999943,0.159999996,-4.539999962,5.190000057,0.829999983,14.30000019
4.079999924,0.079999998,-3.660000086,5.190000057,0.419999987,14.30000019
4.099999905,0.02,-3.420000076,5.289999962,0.109999999,14.28999996
4.119999886,-0.039999999,-3.299999952,5.980000019,-0.239999995,14.28999996
4.139999866,-0.100000001,-3.220000029,7.150000095,-0.720000029,14.28999996
4.159999847,-0.170000002,-3.25999999,8.920000076,-1.519999981,14.27999973
4.179999828,-0.25,-3.75999999,11.36999989,-2.839999914,14.27000046
4.199999809,-0.310000002,-3.440000057,14.31000042,-4.440000057,14.26000023
4.21999979,-0.379999995,-3.269999981,17.25,-6.550000191,14.25
4.239999771,-0.439999998,-3.039999962,19.88999939,-8.75,14.23999977
4.260000229,-0.5,-2.849999905,21.95000076,-10.97999954,14.22999954
4.28000021,-0.540000021,-2.119999886,23.42000008,-12.64999962,14.22000027
4.300000191,-0.560000002,-1.029999971,24.20999908,-13.56000042,14.21000004
4.320000172,-0.550000012,0.300000012,24.39999962,-13.42000008,14.19999981
4.340000153,-0.519999981,1.639999986,24.20999908,-12.59000015,14.18999958
4.360000134,-0.469999999,2.470000029,23.80999947,-11.18999958,14.18000031
4.380000114,-0.419999987,2.390000105,23.31999969,-9.800000191,14.18000031
4.400000095,-0.389999986,1.49000001,22.93000031,-8.93999958,14.17000008
4.420000076,-0.389999986,0.129999995,22.54000092,-8.789999962,14.15999985
4.440000057,-0.419999987,-1.320000052,22.34000015,-9.380000114,14.14999962
4.460000038,-0.469999999,-2.309999943,22.25,-10.46000004,14.14000034
4.480000019,-0.519999981,-2.849999905,22.44000053,-11.67000008,14.11999989
4.5,-0.589999974,-3.170000076,22.73999977,-13.40999985,14.10999966
4.519999981,-0.649999976,-3.24000001,23.12999916,-15.02999973,14.09000015
4.539999962,-0.720000029,-3.349999905,23.52000046,-16.93000031,14.07999992
4.559999943,-0.790000021,-3.410000086,24.01000023,-18.96999931,14.06000042
4.579999924,-0.860000014,-3.579999924,24.20999908,-20.81999969,14.03999996
4.599999905,-0.930000007,-3.650000095,24.5,-22.78000069,14.02000046
4.619999886,-1,-3.519999981,24.60000038,-24.60000038,14
4.639999866,-1.070000052,-3.519999981,24.70000076,-26.42000008,13.97000027
4.659999847,-1.139999986,-3.519999981,24.79000092,-28.27000046,13.94999981
4.679999828,-1.200000048,-3.119999886,24.79000092,-29.75,13.92000008
4.699999809,-1.25,-2.410000086,24.79000092,-30.98999977,13.89000034
4.71999979,-1.269999981,-1,24.70000076,-31.36000061,13.86999989
4.739999771,-1.25,1.100000024,24.5,-30.62999916,13.85000038
4.760000229,-1.179999948,3.400000095,24.20999908,-28.55999947,13.82999992
4.78000021,-1.080000043,5.28000021,23.80999947,-25.71999931,13.81000042
4.800000191,-0.959999979,6.070000172,23.12999916,-22.20000076,13.78999996
4.820000172,-0.850000024,5.269999981,22.34000015,-18.98999977,13.77999973
4.840000153,-0.779999971,3.49000001,21.55999947,-16.81999969,13.77000046
4.860000134,-0.75999999,1.190000057,20.96999931,-15.93999958,13.75
4.880000114,-0.779999971,-1.080000043,20.57999992,-16.04999924,13.72999954
4.900000095,-0.829999983,-2.549999952,20.47999954,-17,13.71000004
4.920000076,-0.889999986,-3.170000076,20.87000084,-18.57999992,13.68999958
4.940000057,-0.959999979,-3.140000105,21.45999908,-20.60000038,13.67000008
4.960000038,-1.00999999,-2.799999952,22.25,-22.46999931,13.64999962
4.980000019,-1.070000052,-2.640000105,23.03000069,-24.63999939,13.63000011
5,-1.120000005,-2.75,23.62000084,-26.45000076,13.60000038
5.019999981,-1.179999948,-3.039999962,24.11000061,-28.45000076,13.57999992
5.039999962,-1.25999999,-3.75999999,24.39999962,-30.75,13.55000019
5.059999943,-1.350000024,-4.489999771,24.5,-33.08000183,13.52000046
5.079999924,-1.440000057,-4.699999809,24.60000038,-35.41999817,13.47999954
5.099999905,-1.529999971,-4.619999886,24.70000076,-37.77999878,13.44999981
5.119999886,-1.610000014,-3.619999886,24.79000092,-39.91999817,13.42000008
5.139999866,-1.649999976,-2.019999981,24.88999939,-41.06999969,13.38000011
5.159999847,-1.639999986,0.129999995,24.88999939,-40.81999969,13.35000038
5.179999828,-1.600000024,2.00999999,24.70000076,-39.50999832,13.31999969
5.199999809,-1.519999981,4.019999981,24.29999924,-36.93999863,13.28999996
5.21999979,-1.419999957,5.199999809,23.71999931,-33.68000031,13.27000046
5.239999771,-1.299999952,5.769999981,22.93000031,-29.80999947,13.25
5.260000229,-1.200000048,5.199999809,22.04999924,-26.45999908,13.22999954
5.28000021,-1.120000005,4.070000172,21.17000008,-23.70999908,13.21000004
5.300000191,-1.070000052,2.210000038,20.57999992,-22.02000046,13.18999958
5.320000172,-1.070000052,0.029999999,20.19000053,-21.60000038,13.15999985
5.340000153,-1.100000024,-1.519999981,20.19000053,-22.20999908,13.14000034
5.360000134,-1.149999976,-2.25,20.57999992,-23.67000008,13.10999966
5.380000114,-1.190000057,-1.870000005,21.17000008,-25.19000053,13.09000015
5.400000095,-1.190000057,-0.370000005,21.76000023,-25.88999939,13.06999969
5.420000076,-1.169999957,1.320000052,22.34000015,-26.13999939,13.05000019
5.440000057,-1.120000005,2.150000095,22.54000092,-25.23999977,13.02000046
5.460000038,-1.080000043,2.069999933,22.63999939,-24.45000076,13
5.480000019,-1.059999943,0.860000014,22.54000092,-23.88999939,12.97999954
5.5,-1.090000033,-1.25999999,22.34000015,-24.35000038,12.96000004
5.519999981,-1.149999976,-3.170000076,22.14999962,-25.46999931,12.93000031
5.539999962,-1.25,-4.71999979,22.14999962,-27.69000053,12.89999962
5.559999943,-1.360000014,-5.5,22.44000053,-30.52000046,12.86999989
5.579999924,-1.470000029,-5.550000191,22.93000031,-33.70999908,12.84000015
5.599999905,-1.570000052,-5.190000057,23.52000046,-36.93000031,12.80000019
5.619999886,-1.659999967,-4.389999866,24.20999908,-40.18000031,12.77000046
5.639999866,-1.720000029,-3.150000095,24.70000076,-42.47999954,12.72999954
5.659999847,-1.75,-1.350000024,24.98999977,-43.72999954,12.69999981
5.679999828,-1.74000001,0.300000012,24.98999977,-43.47999954,12.65999985
5.699999809,-1.700000048,2.049999952,24.70000076,-41.97999954,12.63000011
5.71999979,-1.649999976,2.859999895,24.20999908,-39.93999863,12.60000038
5.739999771,-1.580000043,3.50999999,23.52000046,-37.15999985,12.56999969
5.760000229,-1.50999999,3.24000001,22.73999977,-34.33000183,12.53999996
5.78000021,-1.450000048,2.99000001,22.04999924,-31.96999931,12.52000046
5.800000191,-1.399999976,2.690000057,21.36000061,-29.90999985,12.48999977
5.820000172,-1.350000024,2.470000029,20.96999931,-28.30999947,12.46000004
5.840000153,-1.299999952,2.140000105,20.68000031,-26.87999916,12.43999958
5.860000134,-1.25999999,2,20.68000031,-26.04999924,12.42000008
5.880000114,-1.230000019,1.690000057,20.68000031,-25.43000031,12.39000034
5.900000095,-1.200000048,1.389999986,20.78000069,-24.93000031,12.36999989
5.920000076,-1.169999957,1.440000057,20.87000084,-24.42000008,12.35000038
5.940000057,-1.149999976,1.409999967,21.06999969,-24.22999954,12.31999969
5.960000038,-1.120000005,1.190000057,21.17000008,-23.70999908,12.30000019
5.980000019,-1.100000024,0.920000017,21.36000061,-23.5,12.27999973
6,-1.100000024,0.280000001,21.36000061,-23.5,12.26000023
6.019999981,-1.110000014,-0.479999989,21.55999947,-23.93000031,12.22999954
6.039999962,-1.129999995,-1.129999995,21.65999985,-24.46999931,12.21000004
6.059999943,-1.169999957,-1.75,21.85000038,-25.56999969,12.18999958
6.079999924,-1.210000038,-2.470000029,22.04999924,-26.68000031,12.15999985
6.099999905,-1.279999971,-3,22.34000015,-28.60000038,12.13000011
6.119999886,-1.350000024,-3.769999981,22.63999939,-30.55999947,12.10000038
6.139999866,-1.440000057,-4.349999905,23.03000069,-33.15999985,12.06999969
6.159999847,-1.529999971,-4.820000172,23.52000046,-35.99000168,12.02999973
6.179999828,-1.629999995,-4.550000191,23.90999985,-38.97999954,12
6.199999809,-1.700000048,-3.880000114,24.20999908,-41.15000153,11.96000004
6.21999979,-1.74000001,-2.039999962,24.5,-42.63000107,11.93000031
6.239999771,-1.74000001,0,24.5,-42.63000107,11.89000034
6.260000229,-1.690000057,2.640000105,24.39999962,-41.24000168,11.85999966
6.28000021,-1.590000033,4.889999866,24.01000023,-38.18000031,11.84000015
6.300000191,-1.460000038,6.449999809,23.31999969,-34.04999924,11.81000042
6.320000172,-1.330000043,6.78000021,22.54000092,-29.97999954,11.78999996
6.340000153,-1.210000038,5.929999828,21.55999947,-26.09000015,11.77000046
6.360000134,-1.129999995,3.859999895,20.78000069,-23.47999954,11.75
6.380000114,-1.100000024,1.399999976,20.19000053,-22.20999908,11.72000027
6.400000095,-1.120000005,-0.870000005,19.88999939,-22.28000069,11.69999981
6.420000076,-1.179999948,-2.75,19.98999977,-23.59000015,11.67000008
6.440000057,-1.24000001,-3.339999914,20.47999954,-25.39999962,11.64999962
6.460000038,-1.299999952,-2.730000019,21.17000008,-27.52000046,11.61999989
6.480000019,-1.320000052,-1.190000057,22.04999924,-29.11000061,11.59000015
6.5,-1.309999943,0.790000021,22.73999977,-29.78000069,11.56999969
6.519999981,-1.25999999,2.440000057,23.12999916,-29.13999939,11.55000019
6.539999962,-1.200000048,2.99000001,23.22999954,-27.87000084,11.52000046
6.559999943,-1.139999986,2.730000019,23.03000069,-26.25,11.5
6.579999924,-1.110000014,1.529999971,22.54000092,-25.02000046,11.47999954
6.599999905,-1.120000005,-0.25999999,22.04999924,-24.70000076,11.46000004
6.619999886,-1.149999976,-1.649999976,21.65999985,-24.90999985,11.43000031
6.639999866,-1.200000048,-2.650000095,21.55999947,-25.87000084,11.39999962
6.659999847,-1.269999981,-3.450000048,21.65999985,-27.51000023,11.38000011
6.679999828,-1.350000024,-3.880000114,22.14999962,-29.89999962,11.35000038
6.699999809,-1.440000057,-4.28000021,22.73999977,-32.74000168,11.31000042
6.71999979,-1.529999971,-4.480000019,23.31999969,-35.68999863,11.27999973
6.739999771,-1.610000014,-4.380000114,23.80999947,-38.34000015,11.23999977
6.760000229,-1.679999948,-3.279999971,24.20999908,-40.66999817,11.21000004
6.78000021,-1.710000038,-1.639999986,24.5,-41.88999939,11.18000031
6.800000191,-1.700000048,0.839999974,24.5,-41.65000153,11.14000034
6.820000172,-1.629999995,3.180000067,24.29999924,-39.61999893,11.10999966
6.840000153,-1.529999971,5.170000076,23.90999985,-36.59000015,11.09000015
6.860000134,-1.409999967,5.980000019,23.31999969,-32.88999939,11.06000042
6.880000114,-1.289999962,5.690000057,22.44000053,-28.95000076,11.03999996
6.900000095,-1.210000038,4.289999962,21.55999947,-26.09000015,11.02000046
6.920000076,-1.159999967,2.539999962,20.87000084,-24.20999908,11
6.940000057,-1.139999986,0.680000007,20.29000092,-23.12999916,10.97000027
6.960000038,-1.159999967,-0.790000021,20.09000015,-23.29999924,10.94999981
6.980000019,-1.190000057,-1.340000033,20.29000092,-24.13999939,10.92000008
7,-1.210000038,-1.059999943,20.78000069,-25.13999939,10.89999962
7.019999981,-1.210000038,-0.01,21.36000061,-25.85000038,10.88000011
7.039999962,-1.179999948,1.519999981,21.85000038,-25.79000092,10.85000038
7.059999943,-1.129999995,2.599999905,22.25,-25.13999939,10.82999992
7.079999924,-1.070000052,2.710000038,22.34000015,-23.90999985,10.81000042
7.099999905,-1.039999962,1.820000052,22.14999962,-23.03000069,10.78999996
7.119999886,-1.029999971,0.25,21.85000038,-22.51000023,10.77000046
7.139999866,-1.070000052,-1.879999995,21.65999985,-23.17000008,10.75
7.159999847,-1.139999986,-3.690000057,21.55999947,-24.57999992,10.72000027
7.179999828,-1.24000001,-4.920000076,21.85000038,-27.10000038,10.68999958
7.199999809,-1.350000024,-5.489999771,22.25,-30.03000069,10.65999985
7.21999979,-1.460000038,-5.590000153,22.93000031,-33.47999954,10.63000011
7.239999771,-1.570000052,-5.349999905,23.71999931,-37.22999954,10.59000015
7.260000229,-1.659999967,-4.579999924,24.39999962,-40.50999832,10.56000042
7.28000021,-1.730000019,-3.680000067,24.88999939,-43.06000137,10.52000046
7.300000191,-1.769999981,-1.830000043,25.19000053,-44.58000183,10.47999954
7.320000172,-1.769999981,0.029999999,25.09000015,-44.40999985,10.44999981
7.340000153,-1.710000038,2.799999952,24.70000076,-42.22999954,10.42000008
7.360000134,-1.610000014,5.300000191,24.20999908,-38.97000122,10.39000034
7.380000114,-1.460000038,7.199999809,23.31999969,-34.04999924,10.36999989
7.400000095,-1.320000052,7.210000038,22.34000015,-29.48999977,10.35000038
7.420000076,-1.200000048,5.949999809,21.36000061,-25.63999939,10.32999992
7.440000057,-1.139999986,3.24000001,20.47999954,-23.35000038,10.30000019
7.460000038,-1.129999995,0.219999999,19.88999939,-22.47999954,10.27999973
