setId,rep_number,time,position,speed,acceleration,force
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.969980597,-115.0250015,5.408526897,3.839325905,24.45479584
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.974980474,-115.0521393,5.428246021,3.943831921,24.28673363
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.979980409,-115.0793915,5.449240685,4.19900465,23.94959641
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.984980285,-115.1067505,5.472271919,4.606184959,23.4273262
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.989980221,-115.1342392,5.497998238,5.145327568,22.74061966
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.994980097,-115.1618729,5.526868343,5.77394104,21.94016075
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.999979973,-115.1896667,5.559020042,6.430345058,21.10559273
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.004979849,-115.2176437,5.594242573,7.044589043,20.32727623
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.009979844,-115.2458038,5.631976604,7.546742916,19.69451332
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.01497972,-115.2741547,5.671362877,7.877310276,19.28252983
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.019979596,-115.3027115,5.711336136,7.994626522,19.14332771
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.024979472,-115.3314667,5.750738621,7.880512238,19.29939461
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.029979348,-115.3604126,5.788452625,7.542781353,19.73976898
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.034979343,-115.3895264,5.823495865,7.008615494,20.42889786
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.039979219,-115.4188004,5.855074406,6.315766335,21.32073593
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.044979095,-115.4482193,5.882591248,5.503287792,22.37024879
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.049978971,-115.4777451,5.905604362,4.60270834,23.54497719
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.054978848,-115.5073624,5.923771858,3.633416414,24.8347435
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.059978843,-115.5370483,5.936788082,2.60324502,26.25314331
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.064978719,-115.5667648,5.944357872,1.513965368,27.8310051
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.069978595,-115.5964966,5.946194649,0.367406279,29.60402107
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.074978471,-115.6262131,5.942046642,-0.829649806,31.60213089
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.079978347,-115.6558685,5.931745529,-2.060217619,33.83480072
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.084978342,-115.6854477,5.915280342,-3.29297781,36.27684021
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.089978218,-115.7149124,5.892867565,-4.482578278,38.8638649
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.094978094,-115.7442322,5.865019321,-5.569639683,41.4863205
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.09997797,-115.7733994,5.832592964,-6.485283375,43.99393845
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.104977846,-115.8023834,5.796797276,-7.159109592,46.20862961
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.109977841,-115.8311768,5.759159565,-7.527608395,47.94321823
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.114977717,-115.859787,5.721437454,-7.544403553,49.02793503
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.119977593,-115.8882141,5.685504913,-7.186517715,49.32916641
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.124977469,-115.916481,5.653207779,-6.45938921,48.7739296
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.129977345,-115.9446106,5.626235962,-5.394358158,47.35954666
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.134977341,-115.972641,5.606023312,-4.042555809,45.1538887
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.139977217,-116.0006104,5.593668461,-2.470988989,42.29016495
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.144977093,-116.0285568,5.589895248,-0.754588246,38.9493103
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.149976969,-116.0565338,5.595044136,1.029778004,35.3372345
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.154976845,-116.0845795,5.609069824,2.80515337,31.66801071
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.15997684,-116.1127319,5.631565571,4.499102116,28.14393997
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.164976716,-116.1410446,5.661810875,6.049109459,24.93514252
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.169976592,-116.1695404,5.69883585,7.404975891,22.1673584
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.174976468,-116.1982422,5.741490841,8.530950546,19.91535568
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.179976344,-116.2271881,5.788512707,9.404379845,18.20706367
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.184976339,-116.2563782,5.838588715,10.01525497,17.02989578
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.189976215,-116.2858353,5.890416145,10.36540318,16.34185028
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.194976091,-116.3155441,5.942755222,10.46789646,16.08184433
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.199975967,-116.34552,5.994509697,10.35087395,16.1727314
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.204975843,-116.3757401,6.044804573,10.05893421,16.52517319
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.209975839,-116.4062119,6.093053341,9.649815559,17.04379845
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.214975715,-116.4369049,6.138998985,9.189136505,17.63337898
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.219975591,-116.4678192,6.182707787,8.741681099,18.20606995
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.224975467,-116.4989395,6.224507809,8.360068321,18.69110107
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.229975343,-116.5302658,6.264891148,8.076638222,19.04842377
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.234975338,-116.5617828,6.304393291,7.900430679,19.26763153
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.239975214,-116.5935059,6.34347868,7.817120552,19.36848259
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.24497509,-116.6254196,6.382450581,7.794353008,19.39330864
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.249974966,-116.6575241,6.421402931,7.790460587,19.39575195
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.254974842,-116.689827,6.460213184,7.76200676,19.43159676
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.259974837,-116.7223206,6.498569012,7.671154499,19.54944801
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.264974713,-116.7549973,6.536021709,7.490561485,19.78317451
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.269974589,-116.7878571,6.57205677,7.207008839,20.14938927
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.274974465,-116.8208847,6.606155396,6.819738388,20.64816475
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.279974341,-116.8540802,6.6378479,6.338563919,21.26715279
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.284974337,-116.887413,6.66673851,5.77806282,21.98928452
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.289974213,-116.9208755,6.692480087,5.148295403,22.80643845
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.294974089,-116.9544449,6.714713573,4.446725845,23.72998428
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.299973965,-116.9881134,6.733003616,3.658030272,24.79479599
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.304973841,-117.021843,6.746810436,2.761383772,26.05323029
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.309973836,-117.0556259,6.755498886,1.73764503,27.56530762
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.314973712,-117.0894165,6.758396149,0.579448521,29.3832798
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.319973588,-117.1231918,6.754905224,-0.698150098,31.53059769
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.324973464,-117.1569138,6.744643688,-2.052370548,33.9847908
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,1.329973459,-117.1905518,6.72756052,-3.416607618,36.67173004
